max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category
0.25,0.17,0.36,0.18,0.83
0.25,0.17,0.36,0.18,0.83
0.25,0.17,0.45,0.27,0.75
0.25,0.17,0.45,0.27,0.75
0.25,0.17,0.45,0.27,0.75
0.25,0.17,0.36,0.18,0.67
0.27,0.0,0.4,0.2,0.64
0.27,0.0,0.4,0.2,0.64
0.25,0.0,0.45,0.27,0.58
0.27,0.0,0.5,0.3,0.55
0.27,0.18,0.5,0.3,0.45
0.27,0.18,0.5,0.3,0.45
0.25,0.25,0.45,0.27,0.42
0.27,0.27,0.4,0.3,0.36
0.27,0.27,0.4,0.3,0.36
0.27,0.27,0.3,0.2,0.27
0.2,0.3,0.33,0.22,0.2
0.2,0.3,0.33,0.22,0.2
0.18,0.27,0.4,0.3,0.18
0.2,0.3,0.44,0.33,0.2
0.2,0.3,0.44,0.33,0.2
0.18,0.27,0.4,0.3,0.27
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.18,0.27,0.4,0.3,0.27
0.18,0.27,0.4,0.3,0.27
0.18,0.27,0.4,0.3,0.27
0.2,0.3,0.33,0.33,0.3
0.18,0.27,0.4,0.4,0.27
0.18,0.27,0.4,0.4,0.27
0.2,0.3,0.33,0.33,0.3
0.18,0.27,0.4,0.3,0.27
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.2,0.3,0.44,0.33,0.3
0.22,0.22,0.5,0.38,0.33
0.2,0.2,0.44,0.33,0.3
0.22,0.22,0.5,0.38,0.33
0.22,0.22,0.5,0.38,0.33
0.25,0.25,0.57,0.43,0.38
0.22,0.22,0.62,0.5,0.44
0.22,0.22,0.62,0.5,0.44
0.22,0.22,0.5,0.38,0.56
0.22,0.22,0.5,0.38,0.56
0.22,0.22,0.5,0.38,0.56
0.25,0.25,0.57,0.43,0.62
0.22,0.22,0.5,0.38,0.56
0.22,0.22,0.5,0.38,0.56
0.25,0.25,0.57,0.43,0.62
0.25,0.25,0.57,0.43,0.62
0.25,0.25,0.57,0.43,0.62
0.25,0.25,0.43,0.29,0.62
0.25,0.25,0.43,0.29,0.62
0.25,0.25,0.43,0.29,0.62
0.25,0.25,0.43,0.29,0.62
