rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
21,WCYT,439,470,2464,92,0.9485,0.3,0.3,0.3,0.1,0.3,0.33,"{""match_0001"": {""filename"": ""4PJR"", ""window_start"": 141, ""window_end"": 172, ""distance"": 0.1}, ""match_0002"": {""filename"": ""ZCD7"", ""window_start"": 57, ""window_end"": 88, ""distance"": 0.100499}, ""match_0003"": {""filename"": ""MGT4"", ""window_start"": 469, ""window_end"": 500, ""distance"": 0.100499}, ""match_0004"": {""filename"": ""MGT4"", ""window_start"": 416, ""window_end"": 447, ""distance"": 0.107703}, ""match_0005"": {""filename"": ""24PR"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.109545}, ""match_0006"": {""filename"": ""6HFK"", ""window_start"": 135, ""window_end"": 166, ""distance"": 0.109545}, ""match_0007"": {""filename"": ""FHXX"", ""window_start"": 81, ""window_end"": 112, ""distance"": 0.109545}, ""match_0008"": {""filename"": ""J99Y"", ""window_start"": 299, ""window_end"": 330, ""distance"": 0.109545}, ""match_0009"": {""filename"": ""MCZJ"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.109545}, ""match_0010"": {""filename"": ""WH3X"", ""window_start"": 134, ""window_end"": 165, ""distance"": 0.109545}, ""match_0011"": {""filename"": ""XCDP"", ""window_start"": 195, ""window_end"": 226, ""distance"": 0.109545}, ""match_0012"": {""filename"": ""7W7C"", ""window_start"": 256, ""window_end"": 287, ""distance"": 0.109545}}"
22,DB72,17,48,2458,92,0.9485,0.38,0.38,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""WXHK"", ""window_start"": 70, ""window_end"": 101, ""distance"": 0.117047}, ""match_0002"": {""filename"": ""WCYT"", ""window_start"": 440, ""window_end"": 471, ""distance"": 0.122066}, ""match_0003"": {""filename"": ""ZW7M"", ""window_start"": 165, ""window_end"": 196, ""distance"": 0.129228}, ""match_0004"": {""filename"": ""GPHW"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.129228}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 151, ""window_end"": 182, ""distance"": 0.129228}, ""match_0006"": {""filename"": ""ZCD7"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.129228}}"
23,4PJR,146,177,3332,91,0.9381,0.33,0.22,0.22,0.11,0.33,0.3,"{""match_0001"": {""filename"": ""J99Y"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.0}, ""match_0002"": {""filename"": ""FZVW"", ""window_start"": 145, ""window_end"": 176, ""distance"": 0.087178}, ""match_0003"": {""filename"": ""DB72"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.088318}, ""match_0004"": {""filename"": ""Z2HJ"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.088318}, ""match_0005"": {""filename"": ""H634"", ""window_start"": 207, ""window_end"": 238, ""distance"": 0.088318}, ""match_0006"": {""filename"": ""7W7C"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.10583}, ""match_0007"": {""filename"": ""DF7J"", ""window_start"": 382, ""window_end"": 413, ""distance"": 0.107703}, ""match_0008"": {""filename"": ""4ZY2"", ""window_start"": 85, ""window_end"": 116, ""distance"": 0.108167}, ""match_0009"": {""filename"": ""J99Y"", ""window_start"": 297, ""window_end"": 328, ""distance"": 0.108167}, ""match_0010"": {""filename"": ""J99Y"", ""window_start"": 296, ""window_end"": 327, ""distance"": 0.108167}}"
24,J99Y,109,140,3255,91,0.9381,0.33,0.22,0.22,0.11,0.33,0.3,"{""match_0001"": {""filename"": ""4PJR"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0002"": {""filename"": ""FZVW"", ""window_start"": 145, ""window_end"": 176, ""distance"": 0.087178}, ""match_0003"": {""filename"": ""H634"", ""window_start"": 207, ""window_end"": 238, ""distance"": 0.088318}, ""match_0004"": {""filename"": ""Z2HJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.088318}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 14, ""window_end"": 45, ""distance"": 0.088318}}"
25,4PJR,152,183,3174,91,0.9381,0.3,0.2,0.2,0.1,0.4,0.33,"{""match_0001"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.065574}, ""match_0002"": {""filename"": ""J99Y"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.087178}, ""match_0003"": {""filename"": ""4ZY2"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.092736}, ""match_0004"": {""filename"": ""WXHK"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.097468}, ""match_0005"": {""filename"": ""WCYT"", ""window_start"": 414, ""window_end"": 445, ""distance"": 0.098995}}"
26,3D4B,129,160,3095,91,0.9381,0.33,0.22,0.11,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""Z2HJ"", ""window_start"": 175, ""window_end"": 206, ""distance"": 0.0}, ""match_0002"": {""filename"": ""FZVW"", ""window_start"": 90, ""window_end"": 121, ""distance"": 0.07746}, ""match_0003"": {""filename"": ""Z64J"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.089443}, ""match_0004"": {""filename"": ""MBKT"", ""window_start"": 127, ""window_end"": 158, ""distance"": 0.09}, ""match_0005"": {""filename"": ""FVYH"", ""window_start"": 159, ""window_end"": 190, ""distance"": 0.09}, ""match_0006"": {""filename"": ""FCG6"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.09}, ""match_0007"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.09}}"
27,Z2HJ,175,206,3084,91,0.9381,0.33,0.22,0.11,0.11,0.44,0.3,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 129, ""window_end"": 160, ""distance"": 0.0}, ""match_0002"": {""filename"": ""FZVW"", ""window_start"": 90, ""window_end"": 121, ""distance"": 0.07746}, ""match_0003"": {""filename"": ""Z64J"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.089443}, ""match_0004"": {""filename"": ""FCG6"", ""window_start"": 220, ""window_end"": 251, ""distance"": 0.09}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.09}, ""match_0006"": {""filename"": ""MBKT"", ""window_start"": 127, ""window_end"": 158, ""distance"": 0.09}, ""match_0007"": {""filename"": ""FVYH"", ""window_start"": 159, ""window_end"": 190, ""distance"": 0.09}}"
28,3J3Y,70,101,3027,91,0.9381,0.4,0.2,0.2,0.1,0.5,0.33,"{""match_0001"": {""filename"": ""4ZY2"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.08124}, ""match_0002"": {""filename"": ""W4G3"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.08124}, ""match_0003"": {""filename"": ""9J7R"", ""window_start"": 171, ""window_end"": 202, ""distance"": 0.096954}, ""match_0004"": {""filename"": ""DKBJ"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.096954}, ""match_0005"": {""filename"": ""7W7C"", ""window_start"": 137, ""window_end"": 168, ""distance"": 0.096954}, ""match_0006"": {""filename"": ""ZW7M"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.096954}, ""match_0007"": {""filename"": ""XCDP"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.096954}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 211, ""window_end"": 242, ""distance"": 0.1}}"
29,R7Y2,73,104,2938,91,0.9381,0.44,0.22,0.22,0.11,0.33,0.3,"{""match_0001"": {""filename"": ""FZVW"", ""window_start"": 147, ""window_end"": 178, ""distance"": 0.0}, ""match_0002"": {""filename"": ""H634"", ""window_start"": 207, ""window_end"": 238, ""distance"": 0.09434}, ""match_0003"": {""filename"": ""Z2HJ"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.09434}, ""match_0004"": {""filename"": ""DB72"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.09434}, ""match_0005"": {""filename"": ""3Y4K"", ""window_start"": 253, ""window_end"": 284, ""distance"": 0.097468}, ""match_0006"": {""filename"": ""DFVJ"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.097468}}"
30,FZVW,147,178,2900,91,0.9381,0.44,0.22,0.22,0.11,0.33,0.3,"{""match_0001"": {""filename"": ""R7Y2"", ""window_start"": 72, ""window_end"": 103, ""distance"": 0.0}, ""match_0002"": {""filename"": ""Z2HJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.09434}, ""match_0003"": {""filename"": ""H634"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.09434}, ""match_0004"": {""filename"": ""DB72"", ""window_start"": 14, ""window_end"": 45, ""distance"": 0.09434}, ""match_0005"": {""filename"": ""DFVJ"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.097468}, ""match_0006"": {""filename"": ""3Y4K"", ""window_start"": 252, ""window_end"": 283, ""distance"": 0.097468}, ""match_0007"": {""filename"": ""4PJR"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.11}}"
